Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,MAR-16,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Marine Worldwide Emergancy,,,,
1,MAR-9,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Marine - Intership/Shipshore ,,,,
2,MAR-66A,156.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Marine - Intership/Shipshore - Marinas (1W),,,,
3,MAR-67,156.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Marine - Intership/Shipshore,,,,
4,MAR-68,156.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Marine - Intership/Shipshore ,,,,
5,MAR-69,156.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Marine - Intership/Shipshore - A.E.S. Marep ,,,,
6,MAR-72,156.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Marine - Intership Only,,,,
7,MAR-73,156.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Marine - Intership/Shipshore ,,,,
8,MAR-87A,157.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Marine - Intership Only,,,,
9,MAR-79A,156.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Marine - Intership/Shipshore - Fishing & Whalewatch Industries,,,,
10,MAR-80A,147.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Marine - Intership/Shipshore - Whalewatch Industry,,,,
11,CCG-22A,157.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Coast Guard Working Channel,,,,
12,CCG-26,157.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Coast Guard Working Channel,,,,
13,CCG-83A,157.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Coast Guard Working Channel - Prefered,,,,
14,CCG-84,157.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,Coast Guard Working Channel,,,,
