Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
61,VE7NSR,147.26,+,0.6,Tone,156.7,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
62,CHILLWK,145.11,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
63,HOPE,147.08,+,0.6,Tone,110.9,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
64,PRINCET,442.55,+,5,Tone,110.9,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
65,OSOYOOS,145.15,-,0.6,Tone,100,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
66,GFORKS,146.94,-,0.6,Tone,100,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
67,NELSON,146.64,-,0.6,Tone,100,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
68,KOOT-LK,147.06,-,0.6,Tone,100,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
69,WFP,170.415,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
70,NIXON,158.19,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
71,RR-01,150.08,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
72,RR-02,150.11,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
73,RR-03,150.14,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
74,RR-04,150.185,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
75,RR-05,150.2,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
