Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,MAR-16,156.8,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Marine Worldwide Emergancy,,,,
1,MAR-9,156.45,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Marine - Intership/Shipshore ,,,,
2,MAR-66A,156.325,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,1.0W,Marine - Intership/Shipshore - Marinas (1W),,,,
3,MAR-67,156.375,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Marine - Intership/Shipshore,,,,
4,MAR-68,156.425,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Marine - Intership/Shipshore ,,,,
5,MAR-69,156.475,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Marine - Intership/Shipshore - A.E.S. Marep ,,,,
6,MAR-72,156.625,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Marine - Intership Only,,,,
7,MAR-73,156.675,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Marine - Intership/Shipshore ,,,,
8,MAR-87A,157.375,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Marine - Intership Only,,,,
9,MAR-79A,156.975,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Marine - Intership/Shipshore - Fishing & Whalewatch Industries,,,,
10,MAR-80A,147.025,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Marine - Intership/Shipshore - Whalewatch Industry,,,,
11,VTM-05A,156.25,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Ship Movement - Whitbey Island / Seattle / Juan de Fuca Strait,,,,
12,VTM-11,156.55,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Ship Movement - Victoria to Ballenas & Cape Caution to Rupert,,,,
13,CCG-22A,157.1,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Coast Guard Working Channel,,,,
14,CCG-26,157.3,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Coast Guard Working Channel,,,,
15,CCG-83A,157.175,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Coast Guard Working Channel - Prefered,,,,
16,CCG-84,157.225,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,Coast Guard Working Channel,,,,
17,WX-1,162.55,off,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Weather Channel - Castlegar/Fort Nelson/Kelowna/Vancouver,,,,
18,WX-2,162.4,off,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Weather Channel - Victoria/Chilliwack/Cranbrook/Kamloops/Sicamous/Revelstoke/Prince George,,,,
19,WX-3,162.475,off,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Weather Channel - Penticton/ Forts St. Johnn/Vernon,,,,
20,WX-4,162.425,off,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Weather Channel - Crawford Bay/Masset,,,,
21,WX-5,162.45,off,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Weather Channel ,,,,
22,WX-6,162.5,off,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Weather Channel - Sandspit,,,,
23,WX-7,162.525,off,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Weather Channel - Taxada Island/Ucluelet/Prince Rupert/Port Alberni/Port Hardy,,,,
24,WX-8,161.65,off,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Weather Channel ,,,,
25,WX-9,161.775,off,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Weather Channel ,,,,
26,WX-10,163.275,off,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Weather Channel ,,,,
27,GMR-01,462.5625,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
